date,school,reservation_theorique,presence_reel_eleve
2025-09-04,GALILEE,68,68
2025-09-04,GAMA,69,68
2025-09-04,GAMBETTA,84,84
2025-09-04,GANDHI,11,11
2025-09-04,GARIBALDI,127,125
2025-09-04,GARNIER,70,70
2025-09-04,GEORGES SIMENON,156,154
2025-09-04,GERMAINE RICHIER,271,270
2025-09-04,GOETHE,55,55
2025-09-04,HEIDELBERG,84,84
2025-09-04,HYPATIE,35,35
2025-09-04,ISAAC SCHOLL,107,107
2025-09-04,JACQUES BREL,187,187
2025-09-04,JEAN JAURES,168,167
2025-09-04,JEAN MACE,126,125
2025-09-04,JEAN MERMOZ,137,137
2025-09-04,JEAN MOULIN,114,114
2025-09-04,JEAN ZAY,88,88
2025-09-04,JEANNE D ARC,111,111
2025-09-04,JEANNE MOREAU,174,174
2025-09-04,JOAN MIRO,217,215
2025-09-04,JOSEPH DELTEIL,104,104
2025-09-04,JOYCE,29,29
2025-09-04,JULES FERRY,138,138
2025-09-04,JULES SIMON,155,155
2025-09-04,JULES VERNE,98,98
2025-09-04,JULIE DAUBIE,140,140
2025-09-04,KIPLING,65,65
2025-09-04,LAFONTAINE,71,71
2025-09-04,LAMARTINE,79,79
2025-09-04,LEO MALET,199,198
2025-09-04,LEOPOLD SEDAR SENGHOR,83,83
2025-09-04,LOUIS ARMSTRONG,122,120
2025-09-04,LOUISVILLE,71,71
2025-09-04,LUDWIG VAN BEETHOVEN,320,315
2025-09-04,LUTHERKING,36,33
2025-09-04,MADAME DE SEVIGNE,126,126
2025-09-04,MARC BLOCH,99,98
2025-09-04,MARGUERITTE YOURCENAR,169,169
2025-09-04,MARIE CURIE,182,182
2025-09-04,MARIE PAPE CARPENTIER,124,122
2025-09-04,MICHEL DE L HOSPITAL,258,257
2025-09-04,MICHELET,48,48
2025-09-04,MORISOT MOZART,263,262
2025-09-04,NERUDA,26,26
2025-09-04,OLYMPE DE GOUGES,210,208
2025-09-04,PAGNOL,87,87
2025-09-04,PASTEUR,41,41
2025-09-04,PAUL BERT VICTOR HUGO,147,147
2025-09-04,PAUL LANGEVIN,124,124
2025-09-04,PAUL PAINLEVE,124,123
2025-09-04,PERICLES,85,85
2025-09-04,PICASSO,17,17
2025-09-04,PREVERT,18,18
2025-09-04,PROKOFIEV,46,46
2025-09-04,RENAUD,37,37
2025-09-04,RONSARD,111,111
2025-09-04,ROUX,36,36
2025-09-04,SAMUEL PATY,73,73
2025-09-04,SARAH BERNHARDT,49,48
2025-09-04,SIGMUND FREUD,134,134
2025-09-04,SIGNORET,100,100
2025-09-04,SIMON BOLIVAR,80,80
2025-09-04,SOULAGES,109,108
2025-09-04,SPINOZA,161,160
2025-09-04,SUN YAT SEN,173,173
2025-09-04,SURCOUF,80,79
2025-09-04,TERESA,59,59
2025-09-04,VAN GOGH,30,30
2025-09-04,VICTOR SCHOELCHER,213,213
2025-09-04,VOLTAIRE,193,193
2025-09-04,WINSTON CHURCHILL,269,269
2025-09-04,WOOLF,16,16
2025-09-05,AKIRA KUROSAWA,77,77
2025-09-05,ALAIN SAVARY,135,134
2025-09-05,ALBRECHT,76,76
2025-09-05,ANDRE BOULLOCHE,49,49
2025-09-05,ANDRE MALRAUX,230,228
2025-09-05,ANTOINE BALARD,65,65
2025-09-05,AQUITAINE,66,56
2025-09-05,ARISTOTE,61,61
2025-09-05,AUBIGNE,117,117
2025-09-05,AUBRAC,40,40
2025-09-05,AUGUSTE COMTE,49,49
2025-09-05,AVERROES,47,37
2025-09-05,BENOITE GROULT,226,224
2025-09-05,BERGMAN,50,50
2025-09-05,BLAISE PASCAL,96,95
2025-09-05,BON,64,64
2025-09-05,BOUCHER,86,84
2025-09-05,BRES,57,57
2025-09-05,CALANDRETA DAU CHIVALET,84,84
2025-09-05,CALANDRETA DAU CLAPAS,154,154
2025-09-05,CALLAS,96,95
2025-09-05,CAMOENS,47,44
2025-09-05,CANDOLA,79,79
2025-09-05,CERVANTES,38,35
2025-09-05,CHAPLIN,129,128
2025-09-05,CHAPTAL,86,85
2025-09-05,CHARLES BAUDELAIRE,179,179
2025-09-05,CHARLES DICKENS ANNE FRANK,294,292
2025-09-05,CHENGDU,144,143
2025-09-05,COCTEAU,66,66
2025-09-05,CONDORCET,166,166
2025-09-05,COPERNIC,31,31
2025-09-05,DAUDET,113,113
2025-09-05,DAVILER KERGOMARD,273,272
2025-09-05,DEROIN,101,101
2025-09-05,DIDEROT,148,148
2025-09-05,DOCTEUR CALMETTE,165,164
2025-09-05,DURUY,36,35
2025-09-05,ELUARD,72,72
2025-09-05,EMILE COMBES,61,61
2025-09-05,EUGENE POTTIER JEAN SIBELIUS,267,267
2025-09-05,F D ROOSEVELT,87,87
2025-09-05,FIGUIER,84,84
2025-09-05,FLORIAN,65,65
2025-09-05,FRANCOIS MITTERRAND,179,176
2025-09-05,FREDERIC BAZILLE,19,19
2025-09-05,GALILEE,78,78
2025-09-05,GAMA,69,68
2025-09-05,GAMBETTA,84,84
2025-09-05,GANDHI,17,17
2025-09-05,GARIBALDI,135,134
2025-09-05,GARNIER,68,68
2025-09-05,GEORGES SIMENON,162,160
2025-09-05,GERMAINE RICHIER,285,284
2025-09-05,GOETHE,53,53
2025-09-05,HEIDELBERG,93,93
2025-09-05,HYPATIE,41,40
2025-09-05,ISAAC SCHOLL,100,100
2025-09-05,JACQUES BREL,195,195
2025-09-05,JEAN JAURES,179,179
2025-09-05,JEAN MACE,133,133
2025-09-05,JEAN MERMOZ,140,140
2025-09-05,JEAN MOULIN,119,119
2025-09-05,JEAN ZAY,90,90
2025-09-05,JEANNE D ARC,113,113
2025-09-05,JEANNE MOREAU,173,173
2025-09-05,JOAN MIRO,213,211
2025-09-05,JOSEPH DELTEIL,116,116
2025-09-05,JOYCE,33,33
2025-09-05,JULES FERRY,136,136
2025-09-05,JULES SIMON,158,158
2025-09-05,JULES VERNE,98,98
2025-09-05,JULIE DAUBIE,153,153
2025-09-05,KIPLING,70,70
2025-09-05,LAFONTAINE,69,69
2025-09-05,LAMARTINE,81,81
2025-09-05,LEO MALET,194,194
2025-09-05,LEOPOLD SEDAR SENGHOR,100,100
2025-09-05,LOUIS ARMSTRONG,124,124
2025-09-05,LOUISVILLE,74,74
2025-09-05,LUDWIG VAN BEETHOVEN,328,325
2025-09-05,LUTHERKING,34,31
2025-09-05,MADAME DE SEVIGNE,131,129
2025-09-05,MARC BLOCH,117,117
2025-09-05,MARGUERITTE YOURCENAR,169,168
2025-09-05,MARIE CURIE,178,178
2025-09-05,MARIE PAPE CARPENTIER,119,115
2025-09-05,MICHEL DE L HOSPITAL,264,252
2025-09-05,MICHELET,50,50
2025-09-05,MORISOT MOZART,258,257
2025-09-05,NERUDA,29,29
2025-09-05,OLYMPE DE GOUGES,204,202
2025-09-05,PAGNOL,86,86
2025-09-05,PASTEUR,40,40
2025-09-05,PAUL BERT VICTOR HUGO,150,150
2025-09-05,PAUL LANGEVIN,120,120
2025-09-05,PAUL PAINLEVE,121,120
2025-09-05,PERICLES,89,89
2025-09-05,PICASSO,15,15
2025-09-05,PREVERT,20,20
2025-09-05,PROKOFIEV,53,53
2025-09-05,RENAUD,37,37
2025-09-05,RONSARD,113,113
2025-09-05,ROUX,37,37
2025-09-05,SAMUEL PATY,74,74
2025-09-05,SARAH BERNHARDT,49,48
2025-09-05,SIGMUND FREUD,139,138
2025-09-05,SIGNORET,102,102
2025-09-05,SIMON BOLIVAR,91,91
2025-09-05,SOULAGES,110,109
2025-09-05,SPINOZA,180,178
2025-09-05,SUN YAT SEN,180,180
2025-09-05,SURCOUF,89,88
2025-09-05,TERESA,59,59
2025-09-05,VAN GOGH,37,37
2025-09-05,VICTOR SCHOELCHER,228,228
2025-09-05,VOLTAIRE,201,200
2025-09-05,WINSTON CHURCHILL,281,281
2025-09-05,WOOLF,16,15
2025-09-08,AKIRA KUROSAWA,85,85
2025-09-08,ALAIN SAVARY,137,137
2025-09-08,ALBRECHT,71,70
2025-09-08,ANDRE BOULLOCHE,44,44
2025-09-08,ANDRE MALRAUX,237,234
2025-09-08,ANTOINE BALARD,62,62
2025-09-08,AQUITAINE,65,58
2025-09-08,ARISTOTE,63,63
2025-09-08,AUBIGNE,120,120
2025-09-08,AUBRAC,43,43
2025-09-08,AUGUSTE COMTE,49,49
2025-09-08,AVERROES,39,39
2025-09-08,BENOITE GROULT,212,212
2025-09-08,BERGMAN,53,53
2025-09-08,BLAISE PASCAL,96,95
2025-09-08,BON,64,64
2025-09-08,BOUCHER,89,87
2025-09-08,BRES,59,59
2025-09-08,CALANDRETA DAU CHIVALET,81,81
2025-09-08,CALANDRETA DAU CLAPAS,154,154
2025-09-08,CALLAS,98,98
2025-09-08,CAMOENS,47,47
2025-09-08,CANDOLA,81,81
2025-09-08,CERVANTES,38,37
2025-09-08,CHAPLIN,130,128
2025-09-08,CHAPTAL,87,87
2025-09-08,CHARLES BAUDELAIRE,180,178
2025-09-08,CHARLES DICKENS ANNE FRANK,285,282
2025-09-08,CHENGDU,149,149
2025-09-08,COCTEAU,69,69
2025-09-08,CONDORCET,164,164
2025-09-08,COPERNIC,35,35
2025-09-08,DAUDET,115,112
2025-09-08,DAVILER KERGOMARD,274,270
2025-09-08,DEROIN,105,105
2025-09-08,DIDEROT,139,139
2025-09-08,DOCTEUR CALMETTE,163,163
2025-09-08,DURUY,36,36
2025-09-08,ELUARD,72,72
2025-09-08,EMILE COMBES,58,58
2025-09-08,EUGENE POTTIER JEAN SIBELIUS,259,259
2025-09-08,F D ROOSEVELT,74,73
2025-09-08,FIGUIER,90,89
2025-09-08,FLORIAN,73,72
2025-09-08,FRANCOIS MITTERRAND,178,176
2025-09-08,FREDERIC BAZILLE,23,23
2025-09-08,GALILEE,67,67
2025-09-08,GAMA,70,70
2025-09-08,GAMBETTA,83,83
2025-09-08,GANDHI,18,17
2025-09-08,GARIBALDI,129,128
2025-09-08,GARNIER,68,67
2025-09-08,GEORGES SIMENON,159,156
2025-09-08,GERMAINE RICHIER,287,286
2025-09-08,GOETHE,55,55
2025-09-08,HEIDELBERG,85,85
2025-09-08,HYPATIE,42,42
2025-09-08,ISAAC SCHOLL,110,109
2025-09-08,JACQUES BREL,189,189
2025-09-08,JEAN JAURES,167,167
2025-09-08,JEAN MACE,131,131
2025-09-08,JEAN MERMOZ,141,141
2025-09-08,JEAN MOULIN,121,120
2025-09-08,JEAN ZAY,92,92
2025-09-08,JEANNE D ARC,110,109
2025-09-08,JEANNE MOREAU,174,173
2025-09-08,JOAN MIRO,224,222
2025-09-08,JOSEPH DELTEIL,110,110
2025-09-08,JOYCE,30,30
2025-09-08,JULES FERRY,139,139
2025-09-08,JULES SIMON,154,153
2025-09-08,JULES VERNE,97,96
2025-09-08,JULIE DAUBIE,144,144
2025-09-08,KIPLING,70,70
2025-09-08,LAFONTAINE,70,70
2025-09-08,LAMARTINE,81,81
2025-09-08,LEO MALET,199,199
2025-09-08,LEOPOLD SEDAR SENGHOR,85,85
2025-09-08,LOUIS ARMSTRONG,112,112
2025-09-08,LOUISVILLE,68,68
2025-09-08,LUDWIG VAN BEETHOVEN,341,340
2025-09-08,LUTHERKING,35,33
2025-09-08,MADAME DE SEVIGNE,128,128
2025-09-08,MARC BLOCH,104,104
2025-09-08,MARGUERITTE YOURCENAR,162,161
2025-09-08,MARIE CURIE,177,176
2025-09-08,MARIE PAPE CARPENTIER,126,126
2025-09-08,MICHEL DE L HOSPITAL,268,268
2025-09-08,MICHELET,47,46
2025-09-08,MORISOT MOZART,271,271
2025-09-08,NERUDA,29,29
2025-09-08,OLYMPE DE GOUGES,209,208
2025-09-08,PAGNOL,87,87
2025-09-08,PASTEUR,42,42
2025-09-08,PAUL BERT VICTOR HUGO,147,147
2025-09-08,PAUL LANGEVIN,124,123
2025-09-08,PAUL PAINLEVE,125,124
2025-09-08,PERICLES,87,87
2025-09-08,PICASSO,16,16
2025-09-08,PREVERT,22,22
2025-09-08,PROKOFIEV,49,49
2025-09-08,RENAUD,43,43
2025-09-08,RONSARD,112,112
2025-09-08,ROUX,41,41
2025-09-08,SAMUEL PATY,74,74
2025-09-08,SARAH BERNHARDT,55,55
2025-09-08,SIGMUND FREUD,135,135
2025-09-08,SIGNORET,103,103
2025-09-08,SIMON BOLIVAR,75,75
2025-09-08,SOULAGES,109,108
2025-09-08,SPINOZA,160,159
2025-09-08,SUN YAT SEN,175,175
2025-09-08,SURCOUF,86,84
2025-09-08,TERESA,62,62
2025-09-08,VAN GOGH,31,31
2025-09-08,VICTOR SCHOELCHER,226,226
2025-09-08,VOLTAIRE,194,194
2025-09-08,WINSTON CHURCHILL,272,271
2025-09-08,WOOLF,17,17
2025-09-09,AKIRA KUROSAWA,87,87
2025-09-09,ALAIN SAVARY,149,148
2025-09-09,ALBRECHT,72,72
2025-09-09,ANDRE BOULLOCHE,56,56
2025-09-09,ANDRE MALRAUX,234,234
2025-09-09,ANTOINE BALARD,73,73
2025-09-09,AQUITAINE,71,68
2025-09-09,ARISTOTE,65,65
2025-09-09,AUBIGNE,120,120
2025-09-09,AUBRAC,47,47
2025-09-09,AUGUSTE COMTE,48,48
2025-09-09,AVERROES,44,44
2025-09-09,BENOITE GROULT,222,222
2025-09-09,BERGMAN,52,52
2025-09-09,BLAISE PASCAL,96,95
2025-09-09,BON,70,70
2025-09-09,BOUCHER,95,93
2025-09-09,BRES,63,63
2025-09-09,CALANDRETA DAU CHIVALET,82,82
2025-09-09,CALANDRETA DAU CLAPAS,157,155
2025-09-09,CALLAS,97,95
2025-09-09,CAMOENS,48,40
2025-09-09,CANDOLA,81,81
2025-09-09,CERVANTES,43,42
2025-09-09,CHAPLIN,135,133
2025-09-09,CHAPTAL,88,88
2025-09-09,CHARLES BAUDELAIRE,178,177
2025-09-09,CHARLES DICKENS ANNE FRANK,307,306
2025-09-09,CHENGDU,149,149
2025-09-09,COCTEAU,70,69
2025-09-09,CONDORCET,163,163
2025-09-09,COPERNIC,37,37
2025-09-09,DAUDET,117,115
2025-09-09,DAVILER KERGOMARD,271,269
2025-09-09,DEROIN,111,111
2025-09-09,DIDEROT,143,143
2025-09-09,DOCTEUR CALMETTE,170,170
2025-09-09,DURUY,36,35
2025-09-09,ELUARD,66,66
2025-09-09,EMILE COMBES,59,59
2025-09-09,EUGENE POTTIER JEAN SIBELIUS,270,270
2025-09-09,F D ROOSEVELT,89,89
2025-09-09,FIGUIER,90,89
2025-09-09,FLORIAN,74,73
2025-09-09,FRANCOIS MITTERRAND,178,176
2025-09-09,FREDERIC BAZILLE,19,19
2025-09-09,GALILEE,83,83
2025-09-09,GAMA,73,73
2025-09-09,GAMBETTA,83,83
2025-09-09,GANDHI,18,18
2025-09-09,GARIBALDI,132,130
2025-09-09,GARNIER,69,69
2025-09-09,GEORGES SIMENON,175,173
2025-09-09,GERMAINE RICHIER,281,280
2025-09-09,GOETHE,55,55
2025-09-09,HEIDELBERG,107,107
2025-09-09,HYPATIE,47,47
2025-09-09,ISAAC SCHOLL,104,102
2025-09-09,JACQUES BREL,198,198
2025-09-09,JEAN JAURES,183,182
2025-09-09,JEAN MACE,135,135
2025-09-09,JEAN MERMOZ,142,141
2025-09-09,JEAN MOULIN,122,122
2025-09-09,JEAN ZAY,94,94
2025-09-09,JEANNE D ARC,113,112
2025-09-09,JEANNE MOREAU,181,181
2025-09-09,JOAN MIRO,229,227
2025-09-09,JOSEPH DELTEIL,125,125
2025-09-09,JOYCE,39,39
2025-09-09,JULES FERRY,144,144
2025-09-09,JULES SIMON,158,155
2025-09-09,JULES VERNE,100,100
2025-09-09,JULIE DAUBIE,157,156
2025-09-09,KIPLING,75,75
2025-09-09,LAFONTAINE,72,72
2025-09-09,LAMARTINE,79,79
2025-09-09,LEO MALET,200,199
2025-09-09,LEOPOLD SEDAR SENGHOR,107,107
2025-09-09,LOUIS ARMSTRONG,137,137
2025-09-09,LOUISVILLE,79,79
2025-09-09,LUDWIG VAN BEETHOVEN,340,340
2025-09-09,LUTHERKING,43,42
2025-09-09,MADAME DE SEVIGNE,121,121
2025-09-09,MARC BLOCH,113,113
2025-09-09,MARGUERITTE YOURCENAR,181,180
2025-09-09,MARIE CURIE,176,176
